bootstrap	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
673	-1126.757413	0.30394	-1126.536748	0.26070	0.33654
674	-1269.761861	0.24452	-1268.851503	0.17610	0.28880
675	-1264.253913	0.20089	-1259.794703	0.10894	0.31474
676	-1263.173876	0.44984	-1257.182883	0.20385	0.73362
677	-1200.284813	0.29430	-1200.221654	0.26945	0.31012
678	-1132.126472	0.18188	-1129.359286	0.09425	0.25312
679	-1367.204890	0.47530	-1365.096094	0.28778	0.62559
680	-1182.962571	0.24445	-1180.146175	0.14807	0.37805
681	-1143.950084	0.29018	-1141.053559	0.15778	0.42698
682	-1138.664038	0.34308	-1138.496237	0.29718	0.37229
683	-1254.237175	0.28802	-1253.811596	0.23293	0.32685
684	-1215.562881	0.34891	-1215.557203	0.33974	0.35358
685	-1279.499392	0.19049	-1277.428160	0.11023	0.24169
686	-1198.145003	0.23979	-1197.719305	0.19419	0.27614
687	-1286.139785	0.25113	-1286.000981	0.22179	0.26815
688	-1310.151355	0.32085	-1308.286882	0.19630	0.40626
689	-1248.023969	0.38831	-1247.077234	0.28080	0.46678
690	-1233.487495	0.35472	-1229.874747	0.21378	0.57383
691	-1231.099338	0.33414	-1230.068669	0.23356	0.39949
692	-1126.429857	0.33103	-1124.741319	0.19802	0.42316
693	-1241.832145	0.35647	-1241.281751	0.26581	0.41334
694	-1198.976979	0.31817	-1197.922839	0.23332	0.39901
695	-1196.860303	0.45976	-1196.767745	0.50850	0.43402
696	-1139.112191	0.26414	-1139.111450	0.26139	0.26551
697	-1203.090997	0.28282	-1201.425372	0.17057	0.35182
698	-1247.528484	0.24289	-1245.767149	0.16023	0.32244
699	-1147.873517	0.27621	-1147.674347	0.23205	0.29948
700	-1270.398220	0.30754	-1270.322320	0.27979	0.32179
701	-1148.541615	0.23076	-1148.299027	0.19495	0.25632
702	-1250.124269	0.27838	-1249.928141	0.23525	0.29953
703	-1181.504843	0.25636	-1176.582068	0.11725	0.43970
704	-1153.035790	0.22255	-1152.298276	0.16365	0.26534
705	-1208.921959	0.38656	-1207.844768	0.26835	0.48890
706	-1167.587744	0.23176	-1164.418439	0.11722	0.34249
707	-1182.192052	0.22821	-1180.001442	0.13575	0.30298
708	-1257.795755	0.35989	-1257.329425	0.28340	0.40510
709	-1258.699020	0.31942	-1258.461475	0.26985	0.34916
710	-1208.184078	0.27495	-1207.954563	0.23426	0.30397
711	-1206.385776	0.23476	-1202.039685	0.11639	0.36328
712	-1220.620048	0.41245	-1220.468686	0.35936	0.44374
713	-1194.172151	0.26791	-1193.679156	0.20708	0.30640
714	-1245.895819	0.32728	-1243.438079	0.19308	0.45038
715	-1200.093266	0.26931	-1198.219778	0.17857	0.35956
716	-1149.855707	0.32450	-1149.714054	0.28269	0.35222
717	-1150.219986	0.23418	-1150.211721	0.22646	0.23813
718	-1391.804617	0.37823	-1390.235910	0.26768	0.49905
719	-1095.370276	0.26812	-1094.461120	0.18026	0.32140
720	-1185.351036	0.29548	-1182.299500	0.16055	0.41752
721	-1220.616592	0.25652	-1220.470912	0.22705	0.27670
722	-1126.487479	0.15096	-1123.888902	0.08568	0.21894
723	-1189.461687	0.32167	-1189.096659	0.26807	0.36639
724	-1312.508960	0.32648	-1312.478559	0.30816	0.33689
725	-1250.333637	0.32687	-1249.633355	0.25024	0.38831
726	-1072.157530	0.22299	-1071.575009	0.16509	0.26254
727	-1099.719620	0.39600	-1099.514980	0.33361	0.43260
728	-1189.320662	0.36028	-1188.584615	0.26625	0.42227
729	-1365.105618	0.31574	-1364.953961	0.27951	0.34131
730	-1200.386850	0.35535	-1195.928864	0.15313	0.50344
731	-1200.544110	0.28730	-1199.046744	0.18946	0.36755
732	-1152.842834	0.24384	-1152.698577	0.27723	0.22671
733	-1181.462762	0.19042	-1179.180682	0.12022	0.27819
734	-1200.780643	0.29259	-1196.281582	0.11574	0.41504
735	-1211.767455	0.19938	-1211.747376	0.20909	0.19358
736	-1111.596567	0.28896	-1110.734605	0.21059	0.35477
737	-1234.495989	0.31075	-1234.243809	0.26270	0.33940
738	-1201.563305	0.25141	-1200.790489	0.18165	0.29929
739	-1142.046434	0.21440	-1140.023092	0.12222	0.28417
740	-1209.536074	0.24497	-1209.523397	0.25397	0.23894
741	-1196.014229	0.34803	-1193.690472	0.20772	0.47697
742	-1121.673305	0.24404	-1120.365182	0.16839	0.32012
743	-1148.018224	0.34823	-1147.911915	0.31243	0.37568
744	-1197.712049	0.39622	-1197.569715	0.34404	0.42291
745	-1205.264480	0.26607	-1203.141330	0.15767	0.34896
746	-1169.903778	0.36275	-1169.406768	0.28022	0.41294
747	-1208.716672	0.25890	-1204.957514	0.13482	0.38195
748	-1334.050041	0.30575	-1332.556566	0.20807	0.38813
749	-1199.357906	0.29182	-1195.431964	0.14577	0.43124
750	-1172.177396	0.32759	-1168.483524	0.16852	0.48473
751	-1116.506751	0.29700	-1116.418347	0.26503	0.31380
752	-1158.914223	0.36788	-1155.459902	0.18389	0.52971
753	-1218.530010	0.25252	-1218.497729	0.26844	0.24381
754	-1182.019877	0.24388	-1181.825986	0.20626	0.26527
755	-1120.665495	0.21174	-1120.486916	0.17920	0.22882
756	-1222.327037	0.38710	-1222.324996	0.38103	0.39050
757	-1124.338465	0.31128	-1124.333614	0.32028	0.30710
758	-1189.064153	0.21888	-1186.263131	0.12217	0.31035
759	-1141.417378	0.29587	-1140.922048	0.37733	0.25626
760	-1275.135705	0.41917	-1274.903281	0.35762	0.45737
761	-1210.388643	0.32420	-1209.943147	0.25427	0.36790
762	-1106.490631	0.22938	-1105.992000	0.17409	0.26364
763	-1239.257467	0.36821	-1239.019444	0.31109	0.40120
764	-1240.018376	0.23661	-1237.976929	0.13940	0.30585
765	-1201.282248	0.30156	-1198.640945	0.16779	0.40628
766	-1212.193239	0.36152	-1210.731714	0.23925	0.46498
767	-1239.704506	0.25089	-1237.454486	0.14269	0.33021
768	-1261.458678	0.31932	-1260.273151	0.22252	0.39797
769	-1156.875878	0.35874	-1156.857047	0.34104	0.36803
770	-1289.250161	0.33105	-1288.215672	0.24322	0.40930
771	-1155.575778	0.27242	-1154.061862	0.17670	0.34912
772	-1278.765889	0.27398	-1277.383571	0.18192	0.34589
773	-1295.015779	0.28140	-1294.431122	0.21974	0.32390
774	-1093.241146	0.20315	-1093.140637	0.17869	0.21531
775	-1255.917298	0.26027	-1255.489836	0.33610	0.23457
776	-1177.887173	0.29076	-1177.040537	0.20516	0.34350
777	-1211.823195	0.35154	-1211.740630	0.38822	0.33203
778	-1102.538813	0.23808	-1101.336312	0.15834	0.29730
779	-1243.680538	0.33614	-1243.301066	0.27264	0.38418
780	-1160.255326	0.23919	-1159.317152	0.17077	0.29283
781	-1200.972074	0.22391	-1200.670334	0.18780	0.25193
782	-1257.257201	0.37417	-1257.230414	0.35204	0.38454
783	-1228.595966	0.31308	-1228.493007	0.34800	0.29314
784	-1361.824725	0.27245	-1359.862619	0.16845	0.34625
