bootstrap	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
943	-1330.653311	0.28725	-1330.436403	0.24521	0.31058
944	-1204.923307	0.28932	-1203.753687	0.19672	0.35544
945	-1062.807635	0.20172	-1061.426243	0.11466	0.24603
946	-1160.695987	0.21924	-1160.622730	0.20030	0.23260
947	-1189.676745	0.22760	-1188.340766	0.15663	0.29939
948	-1220.134767	0.35945	-1218.996960	0.25298	0.44940
949	-1233.056950	0.18311	-1232.224876	0.25603	0.15632
950	-1166.035387	0.37535	-1165.582932	0.30263	0.43439
951	-1100.371987	0.31417	-1097.720073	0.17907	0.46119
952	-1109.724164	0.24521	-1109.450571	0.20401	0.27321
953	-1211.907777	0.26553	-1210.859695	0.18624	0.33444
954	-1238.084964	0.26835	-1236.169453	0.15591	0.34037
955	-1351.968141	0.30505	-1351.099003	0.22008	0.35375
956	-1180.060594	0.39717	-1179.981102	0.35999	0.42303
957	-1085.037118	0.35051	-1081.234723	0.15832	0.51632
958	-1238.073641	0.22547	-1237.512257	0.28411	0.19174
959	-1219.997864	0.32889	-1218.936648	0.22930	0.39670
960	-1172.006969	0.33274	-1171.829583	0.28469	0.36157
961	-1277.973828	0.30832	-1277.523565	0.24629	0.34631
962	-1206.597334	0.27436	-1204.336579	0.15962	0.37380
963	-1194.276028	0.27586	-1192.466218	0.17339	0.36168
964	-1282.583435	0.30594	-1281.957753	0.23007	0.35216
965	-1298.885440	0.28436	-1294.391125	0.13383	0.42847
966	-1172.687026	0.26234	-1172.621383	0.24203	0.27656
967	-1088.828418	0.23368	-1087.977094	0.16515	0.28163
968	-1184.564680	0.30103	-1184.065285	0.24561	0.35285
969	-1071.661645	0.28525	-1070.407909	0.18458	0.36793
970	-1177.388498	0.32394	-1175.661905	0.21132	0.43134
971	-1116.979302	0.30833	-1113.980626	0.16890	0.45046
972	-1225.792965	0.30795	-1222.112945	0.14228	0.43977
973	-1356.905774	0.33170	-1356.875212	0.35167	0.32128
974	-1178.568961	0.25996	-1178.296957	0.21933	0.29064
975	-1256.266515	0.24576	-1254.533747	0.15341	0.31054
976	-1324.444550	0.42824	-1321.303378	0.22569	0.57859
977	-1229.815332	0.37734	-1229.469004	0.31867	0.43148
978	-1179.313211	0.28343	-1179.306028	0.27472	0.28827
979	-1274.072918	0.33041	-1274.057399	0.31586	0.33768
980	-1176.019129	0.41673	-1175.602137	0.33662	0.47755
981	-1284.435656	0.34953	-1284.157916	0.29323	0.38473
982	-1116.275997	0.22961	-1116.097797	0.27073	0.21097
983	-1171.600535	0.21057	-1167.888721	0.10321	0.30027
984	-1291.241560	0.20592	-1290.307808	0.14917	0.24554
985	-1218.640305	0.30417	-1217.992946	0.23329	0.35727
986	-1234.218505	0.28839	-1232.004698	0.18238	0.39138
987	-1189.656770	0.24874	-1189.521523	0.21793	0.26691
988	-1289.605935	0.21611	-1289.514016	0.19562	0.22904
989	-1265.168487	0.27438	-1262.987847	0.17020	0.36698
990	-1151.883556	0.37236	-1151.458531	0.30455	0.43952
991	-1283.028222	0.34963	-1281.665225	0.24262	0.44079
992	-1146.157013	0.33569	-1144.417689	0.21005	0.44594
993	-1284.516480	0.31340	-1283.819712	0.23392	0.36890
994	-1192.292875	0.21944	-1191.535076	0.15883	0.26283
995	-1111.868462	0.31951	-1111.468596	0.25334	0.35937
996	-1085.003303	0.31290	-1084.993285	0.30119	0.31908
997	-1089.556884	0.29592	-1089.234664	0.24127	0.33892
998	-1269.452464	0.28148	-1268.902444	0.22081	0.32320
999	-1371.144432	0.30464	-1369.347471	0.20226	0.39003
